,CustomerID,CountryID,Category-0,Category-1,Category-2,Category-3,Category-4,Category-5,Category-6,Total Expenditure,Min Expenditure,Max Expenditure,No. of Invoices,Mean Expenditure
0,17850,0,22.570416317575074,0.0,18.684697952789044,35.199517596095696,23.535975534157135,0.0,0.0,5322.839999999998,0.0,139.12,34,154.2852173913043
1,13047,0,15.249814294480506,5.0172786874656845,17.91105513031683,29.209055970028743,20.710202499757777,8.951974937829021,2.934470174078739,3095.8,0.0,278.73,9,325.87368421052633
2,12583,1,15.876814175051196,0.7401389012554536,31.791330914433267,28.28318382156531,3.4120125100169165,19.889563484996877,0.0,7187.340000000001,0.0,855.86,15,463.6993548387097
3,13748,0,60.8505928853755,3.098814229249012,25.36495388669302,5.080368906455864,0.0,5.552569169960476,0.0,948.2499999999999,0.0,204.0,5,172.40909090909088
4,15100,0,0.0,0.0,99.9213341724355,0.0,0.0,0.0,0.0,635.1,0.0,219.0,3,181.45714285714286
5,15291,0,10.805981744027967,2.2248117218014287,25.868237629744723,15.97289657107098,39.78118728555707,4.477244772447724,0.8588506937700956,4633.599999999999,0.0,328.8,15,298.9419354838709
6,14688,0,36.51839437948451,1.84078018400132,21.619963261095503,17.73668406459605,7.087003708405081,15.187587005625891,0.0,5214.6799999999985,0.0,428.74,21,242.5432558139534
7,17809,0,14.626874593697925,14.944444029320996,21.924246613215367,11.684500369874987,34.431065015803746,2.379529100568636,0.0,5352.660000000001,0.0,34.8,12,428.2128000000001
8,15311,0,36.17253185359862,2.887140252466654,32.43290897658467,9.12522472162703,11.598370529138489,7.732235835071942,0.05074900498397172,59606.57999999999,0.0,446.79999999999995,91,651.4380327868851
9,16098,0,27.513670599612194,2.616978959489166,30.98004615852413,17.521297224008414,19.06656099056392,2.2765224586641946,0.0,2005.6299999999999,0.0,430.59999999999997,7,267.4173333333333
10,18074,0,35.25811058967558,0.0,38.95123444195062,3.223831871046725,16.098755356049786,6.36604774535809,0.0,489.6,489.6,489.6,1,326.40000000000003
11,17420,0,34.60530926200925,10.411626316052928,44.48801161296782,4.254751138771629,6.1568751772812975,0.0,0.0,598.8299999999999,0.0,130.85,3,171.0942857142857
12,16029,0,40.91220395177313,1.4337054106387594,33.020555463475205,19.350730171979265,5.282094261795233,0.0,0.0,70348.68,0.0,508.20000000000005,60,1162.7880991735535
